Ref Commercial,Ref Fabrication,Produit,Modèle,Code Modèle,Dimensions,Type de Finition,Couleur Article,Description Article
ANA2426-lin,ANA2426-lin,Fouta,ARTISANAT,ANA,240/260 CM,Frange Croisé,Lin,
AR1020-B02-03,AR1020-B-02-03,Fouta,ARTHUR,AR,100/200 CM,Frange,,
AR1020-B02-04,AR1020-B-02-04,Fouta,ARTHUR,AR,100/200 CM,Frange,Ecru Rayé Naturel,
AR1020-B02-10,AR1020-B-02-10,Fouta,ARTHUR,AR,100/200 CM,Frange,Ecru Rayé Bleu Marine,
AR1020-B02-11,AR1020-B-02-11,Fouta,ARTHUR,AR,100/200 CM,Frange,,
AR1020-B02-20,AR1020-B-02-20,Fouta,ARTHUR,AR,100/200 CM,Frange,,
AR1020-B02-32,AR1020-B-02-32,Fouta,ARTHUR,AR,100/200 CM,Frange,,
AR1020-B03-01,AR1020-B-03-01,Fouta,ARTHUR,AR,100/200 CM,Frange,Beige,Fouta Modèle ARTHUR 100/200 CM Couleur Beige
AR1020-B03-02,AR1020-B-03-02,Fouta,ARTHUR,AR,100/200 CM,Frange,,
AR1020-B04-01,AR1020-B-04-01,Fouta,ARTHUR,AR,100/200 CM,Frange,Naturel,Fouta Modèle ARTHUR 100/200 CM Couleur Naturel
AR1020-B05-01,AR1020-B-05-01,Fouta,ARTHUR,AR,100/200 CM,Frange,Terra,Fouta Modèle ARTHUR 100/200 CM Couleur Terra
AR1020-B06-01,AR1020-B-06-01,Fouta,ARTHUR,AR,100/200 CM,Frange,Gris Clair,Fouta Modèle ARTHUR 100/200 CM Couleur Gris Clair
AR1020-B07-01,AR1020-B-07-01,Fouta,ARTHUR,AR,100/200 CM,Frange,,
AR1020-B07-17,AR1020-B-07-17,Fouta,ARTHUR,AR,100/200 CM,Frange,Gris Rayé Vert D'eau,
AR1020-B08-01,AR1020-B-08-01,Fouta,ARTHUR,AR,100/200 CM,Frange,,
AR1020-B10-01,AR1020-B-10-01,Fouta,ARTHUR,AR,100/200 CM,Frange,Bleu Marine,Fouta Modèle ARTHUR 100/200 CM Couleur Bleu Marine
AR1020-B10-16,AR1020-B-10-16,Fouta,ARTHUR,AR,100/200 CM,Frange,Bleu Marine Rayé ,
AR1020-B11-01,AR1020-B-11-01,Fouta,ARTHUR,AR,100/200 CM,Frange,Bleu Gitane,Fouta Modèle ARTHUR 100/200 CM Couleur Bleu Gitane
AR1020-B11-25,AR1020-B-11-25,Fouta,ARTHUR,AR,100/200 CM,Frange,Bleu Gitane Raué Orange,
AR1020-B12-01,AR1020-B-12-01,Fouta,ARTHUR,AR,100/200 CM,Frange,Bleu Delave,Fouta Modèle ARTHUR 100/200 CM Couleur Bleu Delave
AR1020-B12-02,AR1020-B-12-02,Fouta,ARTHUR,AR,100/200 CM,Frange,,
AR1020-B12-32,AR1020-B-12-32,Fouta,ARTHUR,AR,100/200 CM,Frange,Bleu Delave Rayé Rose Pale,
AR1020-B13-01,AR1020-B-13-01,Fouta,ARTHUR,AR,100/200 CM,Frange,Bleu roi,Fouta Modèle ARTHUR 100/200 CM Couleur Bleu roi
AR1020-B13-14,AR1020-B-13-14,Fouta,ARTHUR,AR,100/200 CM,Frange,Bleu roi Rayé Turquoise,
AR1020-B13-25,AR1020-B-13-25,Fouta,ARTHUR,AR,100/200 CM,Frange,,
AR1020-B14-01,AR1020-B-14-01,Fouta,ARTHUR,AR,100/200 CM,Frange,Bleu Turquoise,Fouta Modèle ARTHUR 100/200 CM Couleur Bleu Turquoise
AR1020-B14-29,AR1020-B-14-29,Fouta,ARTHUR,AR,100/200 CM,Frange,,
AR1020-B15-01,AR1020-B-15-01,Fouta,ARTHUR,AR,100/200 CM,Frange,Lagon,Fouta Modèle ARTHUR 100/200 CM Couleur Lagon
AR1020-B15-25,AR1020-B-15-25,Fouta,ARTHUR,AR,100/200 CM,Frange,Lagon Rayé Orange,
AR1020-B16-01,AR1020-B-16-01,Fouta,ARTHUR,AR,100/200 CM,Frange,Bleu Ciel,Fouta Modèle ARTHUR 100/200 CM Couleur Bleu Ciel
AR1020-B17-01,AR1020-B-17-01,Fouta,ARTHUR,AR,100/200 CM,Frange,Emeraude,Fouta Modèle ARTHUR 100/200 CM Couleur Emeraude
AR1020-B17-07,AR1020-B-17-07,Fouta,ARTHUR,AR,100/200 CM,Frange,VERT D'EAU Rayé Gris,
AR1020-B18-01,AR1020-B-18-01,Fouta,ARTHUR,AR,100/200 CM,Frange,VERT D'EAU,Fouta Modèle ARTHUR 100/200 CM Couleur VERT D'EAU
AR1020-B18-02,AR1020-B-18-02,Fouta,ARTHUR,AR,100/200 CM,Frange,,
AR1020-B19-01,AR1020-B-19-01,Fouta,ARTHUR,AR,100/200 CM,Frange,CEDRE,Fouta Modèle ARTHUR 100/200 CM Couleur CEDRE
AR1020-B20-01,AR1020-B-20-01,Fouta,ARTHUR,AR,100/200 CM,Frange,Vert Olive,Fouta Modèle ARTHUR 100/200 CM Couleur Vert Olive
AR1020-B20-02,AR1020-B-20-02,Fouta,ARTHUR,AR,100/200 CM,Frange,,
AR1020-B20-24,AR1020-B-20-24,Fouta,ARTHUR,AR,100/200 CM,Frange,,
AR1020-B21-01,AR1020-B-21-01,Fouta,ARTHUR,AR,100/200 CM,Frange,,
AR1020-B23-01,AR1020-B-23-01,Fouta,ARTHUR,AR,100/200 CM,Frange,Or,Fouta Modèle ARTHUR 100/200 CM Couleur Or
AR1020-B24-01,AR1020-B-24-01,Fouta,ARTHUR,AR,100/200 CM,Frange,Jaune Safran,Fouta Modèle ARTHUR 100/200 CM Couleur Jaune Safran
AR1020-B25-01,AR1020-B-25-01,Fouta,ARTHUR,AR,100/200 CM,Frange,Orange,Fouta Modèle ARTHUR 100/200 CM Couleur Orange
AR1020-B26-01,AR1020-B-26-01,Fouta,ARTHUR,AR,100/200 CM,Frange,Rouge Ferrari,Fouta Modèle ARTHUR 100/200 CM Couleur Rouge Ferrari
AR1020-B27-01,AR1020-B-27-01,Fouta,ARTHUR,AR,100/200 CM,Frange,,
AR1020-B28-01,AR1020-B-28-01,Fouta,ARTHUR,AR,100/200 CM,Frange,Framboise,Fouta Modèle ARTHUR 100/200 CM Couleur Framboise
AR1020-B29-01,AR1020-B-29-01,Fouta,ARTHUR,AR,100/200 CM,Frange,,
AR1020-B30-01,AR1020-B-30-01,Fouta,ARTHUR,AR,100/200 CM,Frange,,
AR1020-B31-01,AR1020-B-31-01,Fouta,ARTHUR,AR,100/200 CM,Frange,,
AR1020-B32-01,AR1020-B-32-01,Fouta,ARTHUR,AR,100/200 CM,Frange,,
AR1020-T02-04-10,AR1020-T-02-04-10,Fouta,ARTHUR,AR,100/200 CM,Frange,Ecru Rayé Naturel Bande Bleu Marine,
AR1020-T03-04-17,AR1020-T-03-04-17,Fouta,ARTHUR,AR,100/200 CM,Frange,,
AR1020-T04-02-08,AR1020-T-04-02-08,Fouta,ARTHUR,AR,100/200 CM,Frange,,
AR1020-T04-02-10,AR1020-T-04-02-10,Fouta,ARTHUR,AR,100/200 CM,Frange,,
AR1020-T06-29-17,AR1020-T-06-29-17,Fouta,ARTHUR,AR,100/200 CM,Frange,,
AR1020-T08-02-06,AR1020-T-08-02-06,Fouta,ARTHUR,AR,100/200 CM,Frange,,
AR1020-T10-01-14,AR1020-T-10-01-14,Fouta,ARTHUR,AR,100/200 CM,Frange,,
AR1020-T10-14-25,AR1020-T-10-14-25,Fouta,ARTHUR,AR,100/200 CM,Frange,,
AR1020-T15-01-29,AR1020-T-15-01-29,Fouta,ARTHUR,AR,100/200 CM,Frange,,
AR1020-T32-06-12,AR1020-T-32-06-12,Fouta,ARTHUR,AR,100/200 CM,Frange,,
AR1626-B01-10,AR1626-B-01-10,Jeté,ARTHUR,AR,160/260 CM,Frange,,
AR1626-B02-04,AR1626-B-02-04,Jeté,ARTHUR,AR,160/260 CM,Frange,Ecru Rayé Naturel,
AR1626-B02-10,AR1626-B-02-10,Jeté,ARTHUR,AR,160/260 CM,Frange,Ecru Rayé Bleu Marine,
AR1626-B03-01,AR1626-B-03-01,Jeté,ARTHUR,AR,160/260 CM,Frange,Beige,Jeté Modèle ARTHUR 160/260 CM Couleur Beige
AR1626-B04-01,AR1626-B-04-01,Jeté,ARTHUR,AR,160/260 CM,Frange,Naturel,Jeté Modèle ARTHUR 160/260 CM Couleur Naturel
AR1626-B04-02,AR1626-B-04-02,Jeté,ARTHUR,AR,160/260 CM,Frange,,
AR1626-B05-01,AR1626-B-05-01,Jeté,ARTHUR,AR,160/260 CM,Frange,Terra,Jeté Modèle ARTHUR 160/260 CM Couleur Terra
AR1626-B06-01,AR1626-B-06-01,Jeté,ARTHUR,AR,160/260 CM,Frange,Gris Clair,Jeté Modèle ARTHUR 160/260 CM Couleur Gris Clair
AR1626-B06-08,AR1626-B-06-08,Jeté,ARTHUR,AR,160/260 CM,Frange,,
AR1626-B07-01,AR1626-B-07-01,Jeté,ARTHUR,AR,160/260 CM,Frange,,
AR1626-B07-17,AR1626-B-07-17,Jeté,ARTHUR,AR,160/260 CM,Frange,,
AR1626-B08-01,AR1626-B-08-01,Jeté,ARTHUR,AR,160/260 CM,Frange,,
AR1626-B10-01,AR1626-B-10-01,Jeté,ARTHUR,AR,160/260 CM,Frange,Bleu Marine,Jeté Modèle ARTHUR 160/260 CM Couleur Bleu Marine
AR1626-B10-02,AR1626-B-10-02,Jeté,ARTHUR,AR,160/260 CM,Frange,Bleu Marine,Jeté Modèle ARTHUR 160/260 CM Couleur Bleu Marine
